filename,Numeric numbers,mean_r,mean_g,mean_b,median_r,median_g,median_b,mean_h,mean_s,mean_v,median_h,median_s,median_v,mean_gray,median_gray,contrast,energy,homogeneity,entropy,RI,CI,HI,SI,lab_L,lab_a,lab_b,luv_L,luv_u,luv_v,xyz_X,xyz_Y,xyz_Z,image_path,image_no,soc,moisture,soil_type,Mahalanobis_Distance
621.jpg,621,145.6343272,127.3773119,90.85263871,151.0,132.0,95,19.91625478,104.2211615,145.6345464,20,94,151.0,0.504405877,0.523896863,1706.606282,0.00855137,0.034031093,14.10169677,1.847885174,0.489722968,2.009806882,1.742662107,54.14094788,1.417916271,22.43504217,54.14094788,13.82162682,27.66850591,0.213096096,0.221075657,0.13006109,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/621.jpg,621,1.75,0.21,1,3.213491429229587
98.jpg,98,162.5595105,147.1885762,107.3423748,166.0,151.0,111,21.7234933,92.91430166,162.5595105,22,85,166.0,0.578752897,0.592796471,1900.849896,0.007944389,0.028501807,14.24365562,1.870556123,0.351639837,1.776247958,1.452527188,61.42573089,-0.448349793,23.20609535,61.42573089,11.99854164,30.02966401,0.281493816,0.297359607,0.182573472,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/98.jpg,98,1.49,2.79,1,5.749004289407006
653.jpg,653,150.7706473,128.059371,89.72516741,153.0,131.0,92,18.76261559,110.4400909,150.7706473,19,102,153.0,0.510280867,0.520451373,1677.387012,0.008614314,0.033537217,14.07060102,1.781530093,0.642756887,2.193756044,1.810932543,54.80947612,3.083781437,24.04542985,54.80947612,17.02459969,29.19035665,0.222810918,0.227457455,0.128256186,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/653.jpg,653,2.05,2.19,1,3.2080257132007883
85.jpg,85,152.3059232,129.6948541,87.30426897,156.0,134.0,90,19.54544005,119.60511,152.3059232,20,108,156.0,0.515464098,0.53053451,1991.788457,0.0074176,0.029592971,14.43392979,1.860562101,0.503640162,2.075970204,1.694390704,55.36297574,2.534208849,26.1513633,55.36297574,17.23580338,31.61376513,0.226815829,0.232833189,0.123789391,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/85.jpg,85,3.11,14.96,1,3.96555664452182
314.jpg,314,128.1848095,110.9095384,74.48078763,129.0,111.0,75,20.3123007,114.5569396,128.1848095,20,107,129.0,0.439035375,0.440986275,1398.363749,0.009350968,0.034559279,13.83013699,1.764581003,0.513738713,1.953321297,1.241130013,47.56495169,1.265842197,22.78868941,47.56495169,13.20011687,26.8418134,0.158570786,0.164542918,0.089026674,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/314.jpg,314,2.05,12.44,2,3.3236369212447245
59.jpg,59,144.7016303,122.3955078,79.64644452,145.0,122.0,80,19.67311065,121.4832589,144.7016303,20,114,145.0,0.486483731,0.48631098,1357.413337,0.009260106,0.035395634,13.85401045,1.632013196,0.699259388,2.04725294,1.802034073,52.49118241,2.512003328,26.56302387,52.49118241,17.09867837,31.43985398,0.200681642,0.205840119,0.104350001,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/59.jpg,59,1.18,48.3,1,4.68810053354918
32.jpg,32,143.069874,128.627272,93.50171397,144.0,129.0,94,21.17490434,90.06299825,143.069874,21,88,144.0,0.506524597,0.509602353,545.3431694,0.015455193,0.052905897,12.44980918,2.090343029,0.637649617,1.824008229,2.125487546,54.28951531,-0.033851673,21.09028803,54.28951531,11.14222079,26.49608285,0.211392955,0.222483433,0.136506462,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/32.jpg,32,2.2,0.0,1,6.3786975830815305
74.jpg,74,154.4303651,134.0498047,89.03728874,158.0,138.0,92,20.67370855,114.9191247,154.4303651,21,106,158.0,0.529942241,0.543731765,1383.357643,0.008770931,0.036126727,13.99949086,1.636354449,0.533514327,1.908827225,1.915886187,56.78119272,1.197247957,27.06999352,56.78119272,15.82737228,33.11361126,0.237456904,0.24699237,0.129733346,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/74.jpg,74,1.49,8.04,1,3.0590406888488433
706.jpg,706,147.082111,119.6149155,87.97973135,148.0,120.0,88,16.18728077,108.8127192,147.08524,16,103,148.0,0.483022736,0.484605882,1626.2292,0.00915684,0.031322006,13.93616217,1.787168766,0.909114171,2.741572614,1.812435322,52.12587944,6.102836797,21.41832992,52.12587944,19.91458405,25.32925269,0.204786375,0.202564062,0.120566782,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/706.jpg,706,1.59,29.25,1,5.658698948692992
119.jpg,119,146.5186344,126.8544723,84.98030931,148.0,128.0,86,20.43130182,112.8984176,146.5186344,20,107,148.0,0.502015606,0.506904902,1215.283292,0.009520354,0.035621967,13.770426,1.530621645,0.643483256,1.940580297,1.772668747,53.98061241,1.379245612,25.54194887,53.98061241,15.16114512,30.93498881,0.211563865,0.219563047,0.11711358,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/119.jpg,119,2.2,0.87,1,2.582378220912045
129.jpg,129,163.5931322,140.8216677,88.41196987,165.0,142.0,90,21.04185268,123.6192203,163.5931322,21,116,165.0,0.556399469,0.561579608,1792.423447,0.008510947,0.029779125,14.07374633,1.630204366,0.58637656,1.870210174,2.30591355,59.48837192,1.277206697,31.06040883,59.48837192,17.94193993,37.74502209,0.265038385,0.275591748,0.132429672,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/129.jpg,129,1.18,0.68,1,3.5997444969317307
402.jpg,402,152.5811942,133.1865035,98.61483578,155.0,135.0,101,19.15306122,104.1661352,152.5811942,19,90,155.0,0.528687286,0.537283529,3803.721032,0.006195099,0.020670922,14.9013951,1.919650939,0.402226935,2.134286853,1.262172776,56.53775169,2.06680279,21.36945991,56.53775169,14.42775104,26.74862615,0.237050492,0.244522205,0.151757948,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/402.jpg,402,1.27,13.6,1,4.885821898610354
695.jpg,695,96.5946867,75.75783243,47.21595982,99.0,78.0,48,17.19064892,138.6760403,96.5946867,17,130,99.0,0.30638351,0.313233333,676.5359345,0.01362125,0.050777638,12.84887038,1.687660041,0.233272232,2.489108427,0.418760532,33.69423862,4.669127804,20.26877132,33.69423862,15.05115125,20.54697531,0.079721926,0.078622012,0.038090921,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/695.jpg,695,1.75,39.6,1,6.898571309108445
273.jpg,273,128.2927475,110.5655022,79.03820801,129.0,112.0,79,19.11436081,110.8056297,128.2927475,19,98,129.0,0.439448721,0.442645098,1837.665159,0.007507256,0.034000076,14.4739841,1.809162149,0.481618216,2.147219276,1.245002186,47.56193807,2.08168022,20.15765693,47.56193807,13.17037817,23.97596651,0.159962379,0.164519517,0.097352552,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/273.jpg,273,2.29,0.0,2,5.730787378047068
726.jpg,726,151.0123565,123.0053412,92.55018335,152.0,123.0,92,15.67590083,106.540338,151.0149275,16,100,152.0,0.49710202,0.497739608,2258.684677,0.007892283,0.026514499,14.31483549,1.677208385,0.802702427,2.865165053,1.616688306,53.52599191,6.4031298,20.74734723,53.52599191,20.16071965,24.76523266,0.218047362,0.215311692,0.132562408,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/726.jpg,726,2.77,27.98,2,6.083853130555526
417.jpg,417,149.3391661,131.4605987,107.1286671,154.0,136.0,111,17.08866789,91.4477838,149.3391661,17,73,154.0,0.523550831,0.540684314,4180.86451,0.005804538,0.025316514,15.10088982,1.633967486,0.311967265,2.607773425,0.799875947,55.93039653,2.860909379,15.65929487,55.93039653,12.66110252,19.90221813,0.232953326,0.238431371,0.173165196,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/417.jpg,417,2.51,19.4,2,4.709675734416511
548.jpg,548,121.0031091,104.609375,77.64837771,120.0,104.0,77,18.73290019,102.809929,121.0033881,19,92,120.0,0.416271198,0.413825098,1685.252963,0.008165105,0.029424465,14.17759783,1.483535768,0.429030873,2.22787762,0.980665609,45.12949489,2.194956836,17.59137539,45.12949489,11.94353283,20.82452394,0.142601923,0.14634519,0.092133491,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/548.jpg,548,1.27,55.97,1,3.56120322194288
547.jpg,547,132.0884675,110.5119592,81.23733539,130.0,109.0,79,17.17307175,109.7090668,132.0885683,17,100,130.0,0.443083399,0.435612549,2161.043817,0.007529276,0.027314291,14.42554625,1.63194477,0.57001992,2.48264089,1.065423098,47.97366373,4.047270382,19.49785145,47.97366373,15.65407246,22.9796566,0.166552851,0.167737321,0.10189436,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/547.jpg,547,1.27,55.97,1,4.572192011448331
659.jpg,659,134.2266821,116.3158482,82.77222178,138.0,120.0,86,19.47953205,105.7814892,134.2266821,19,96,138.0,0.46158198,0.476793333,1335.65573,0.009318672,0.036656949,13.84580276,1.899315157,0.54710335,2.074107596,1.589746772,49.82491401,1.812323275,21.11234256,49.82491401,13.42238937,25.43342231,0.17702357,0.182724564,0.107297175,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/659.jpg,659,1.75,10.81,1,3.5858610798763464
139.jpg,139,140.0151865,119.4820233,84.80002392,140.0,120.0,85,18.78736846,110.4939015,140.0151865,19,101,140.0,0.475861758,0.47709098,1821.198451,0.007839946,0.030768837,14.3076545,1.838987967,0.531295366,2.200921351,1.471343686,51.31192834,2.749397725,22.02505101,51.31192834,15.29668032,26.48528858,0.191041965,0.195389908,0.113153859,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/139.jpg,139,2.12,5.03,1,3.140880103453296
581.jpg,581,99.17546237,89.13564254,71.15792411,100.0,90.0,72,19.41304608,79.47720026,99.17546237,19,72,100.0,0.352834944,0.357018431,833.7497398,0.011319226,0.046505495,13.33874587,1.789340224,0.207517565,2.130359,0.426330259,38.35294016,0.900757933,11.90764735,38.35294016,7.099395461,13.94089747,0.098908424,0.10287152,0.074507293,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/581.jpg,581,2.66,37.0,1,4.70661479174309
