image_no,soc,entropy,median_h,mean_s,lab_b,luv_u,CI,luv_v,median_s,median_r,SI,median_v,mean_r,moisture,soil_type
239,1.92,14.6978184,19,129.2301698,30.54119037,21.00078369,0.464977859,37.20142762,117,182.0,1.770137505,182.0,171.824996,8.89,2
300,2.29,12.85037371,19,137.029556,21.16257847,14.24937623,0.253562085,21.85073452,130,99.0,0.464841999,99.0,98.6408243,29.46,2
526,2.07,14.32078474,17,124.0930923,22.92884312,18.42930038,0.655741577,26.42970731,111,138.0,1.604541575,138.0,135.4620735,61.42,1
609,2.77,13.67117346,18,112.1230269,18.0010798,12.36081867,0.353194518,20.19032112,105,106.0,0.725607744,106.0,108.204839,25.73,2
217,2.05,14.98757532,19,99.78176818,20.32685821,14.68684306,0.375993815,25.56804713,87,161.0,1.120733638,161.0,154.6618104,13.26,2
613,2.07,14.36670549,19,123.28978,23.89330208,16.79780882,0.579312773,27.99086248,110,140.0,1.5278816,140.0,137.2434829,0.18,1
66,1.48,13.72780103,21,119.4815649,27.5179118,16.09054249,0.695701127,33.00220941,113,149.0,1.912338151,149.0,148.1412229,7.21,1
721,2.51,14.00990099,19,58.54671556,10.92774902,6.826244388,0.306656298,14.06562086,54,127.0,0.755469467,127.0,128.2566765,21.72,2
146,2.2,14.31645959,20,114.1105309,23.88247459,15.08710729,0.54094422,28.82376815,104,145.0,1.632716426,145.0,142.839784,4.12,1
316,2.29,13.71313309,19,108.4183873,20.2741812,13.61497212,0.518344669,23.70566435,102,123.0,1.19895339,123.0,124.4021445,13.59,2
244,1.92,14.50344334,19,115.3894093,29.39110826,20.76794874,0.452973602,36.88655131,105,194.0,1.643182374,194.0,183.8625239,8.89,2
92,2.12,14.42378686,21,105.2407924,23.57987407,13.514467,0.403303266,29.45656766,94,154.0,1.366757863,154.0,151.4877033,5.56,1
318,2.29,14.05111093,20,115.5465561,23.73635742,15.06278958,0.551439547,28.15291717,108,136.0,1.48720463,136.0,136.5147082,13.59,2
174,1.49,13.98345689,22,108.3900869,26.57656675,14.51191766,0.534905445,33.12406543,102,159.0,1.770565723,159.0,157.8702766,2.36,1
387,2.66,15.10390001,17,98.12551818,18.18638986,15.34230949,0.380946298,22.88795883,83,163.0,1.011880556,163.0,156.0117188,19.2,1
48,1.48,13.62981921,19,108.227559,20.9526996,13.65754895,0.54058725,24.74186345,102,128.0,1.230061812,128.0,128.1736886,46.5,1
135,1.38,14.3203678,20,129.884646,29.46864507,18.64730249,0.635820193,34.88586132,120,154.0,1.948217964,154.0,152.7097816,19.4,1
78,6.72,14.64672957,19,135.5762516,27.38452917,18.36969865,0.512860037,31.9193391,121,144.0,1.502242843,144.0,143.7710061,12.25,1
395,2.66,15.10565967,18,108.2438018,20.5497832,15.35954157,0.374010844,25.63830559,91,159.0,1.071039284,159.0,153.4961137,19.2,1
554,2.51,13.73599116,20,99.96492347,18.93439563,11.61046769,0.481047983,22.64047126,93,124.0,1.033953826,124.0,124.218471,4.44,2
194,2.2,14.37510324,21,106.8941327,24.99122902,14.13309883,0.440135395,31.29190154,96,161.0,1.562563683,161.0,156.3808992,0.91,1
459,1.59,12.95464084,20,113.3377312,23.86956018,14.09628264,0.711149731,28.08881727,110,132.0,1.279581995,132.0,131.5745775,0.0,1
605,2.77,13.22809957,18,104.7598852,15.70189551,10.2608284,0.230711566,17.33688077,100,96.0,0.468070223,96.0,97.63075973,25.73,2
660,1.75,14.10173842,20,106.1120057,23.34102128,15.062719,0.507426817,28.76426195,96,155.0,1.774075568,155.0,150.1882972,10.81,1
163,1.48,13.83673839,21,117.3541534,29.7078834,17.2178968,0.588189884,36.4683441,111,165.0,2.309365617,165.0,163.7767658,2.6,1
478,2.77,12.42488099,19,112.9925263,21.42771834,13.28054817,0.421931466,24.44445172,111,118.0,0.58222252,118.0,117.799147,0.0,2
468,1.27,13.80485698,20,117.0002392,25.88754051,16.8448634,0.750063726,30.90636112,112,147.0,1.878444506,147.0,146.2216199,0.0,1
376,1.75,15.02203916,19,120.6275112,22.98744815,14.88817724,0.338336662,28.32165652,101,152.0,1.065227397,152.0,149.1370974,22.3,1
556,2.51,14.24464755,19,103.7203245,20.84757548,13.47603886,0.493921895,25.37844099,94,139.0,1.393413589,139.0,137.8260922,4.44,2
496,2.66,13.82241934,20,69.19158156,9.663615892,5.699832635,0.15167536,11.44865014,61,96.0,0.370121863,96.0,96.38585058,65.56,1
46,1.38,13.93944029,19,110.2930086,23.31716138,16.22562368,0.643578852,28.07587025,103,146.0,1.766634273,146.0,144.5408163,46.78,1
315,2.05,14.13418613,20,121.1216119,25.78199223,15.43802094,0.585698752,30.61238991,112,142.0,1.645982428,142.0,140.4693479,12.44,2
52,1.32,13.98275807,19,106.0424107,21.73731401,14.76721916,0.563481382,26.24130954,99,139.0,1.531173799,139.0,139.571887,48.55,1
100,6.72,14.59769638,20,104.0108219,21.48224242,12.7606842,0.392550808,26.64406541,92,144.0,1.20900723,144.0,143.4782964,5.68,1
169,1.32,14.07345629,21,114.0530134,29.92573186,16.87846855,0.489582712,37.33901687,107,173.0,2.141876175,173.0,170.5571987,1.81,1
617,1.75,13.56354005,18,99.71470424,19.05639889,14.04645017,0.728031108,22.80496521,93,135.0,1.451494867,135.0,131.9719786,0.21,1
225,2.29,15.02927265,19,109.5515984,22.46101392,14.56042416,0.34989428,28.4372197,91,165.0,1.129830936,165.0,159.4474649,13.35,2
87,1.38,13.92134858,21,97.55618224,23.25533447,12.89902187,0.475379975,29.34244788,92,155.0,1.625447345,155.0,153.4893575,2.73,1
586,1.59,13.82784538,18,106.1685268,16.73689918,11.28142285,0.342936899,19.05491461,97,107.0,0.713313738,107.0,107.9251036,23.77,1
519,2.77,13.73643493,19,103.1084782,17.22108709,10.9383041,0.360772946,19.96221763,95,112.0,0.740631223,112.0,111.8339246,50.91,2
95,2.2,14.02222178,21,103.3486926,24.54894758,13.54243441,0.481726955,30.73030642,96,156.0,1.690854317,156.0,153.835499,4.33,1
327,2.5,14.02260404,21,127.9163146,31.64829375,18.89597785,0.631604375,37.99815814,120,164.0,2.507539228,164.0,162.0442443,5.62,3
249,1.92,14.77016751,20,125.9290697,30.03417566,20.08967297,0.44331006,36.92950322,113,183.0,1.724018489,183.0,172.836376,8.89,2
507,1.27,14.24913269,18,106.1198182,18.84366238,14.03403831,0.525802182,22.28162828,96,128.0,1.131384152,128.0,127.8647959,60.16,1
471,2.51,13.12275995,19,112.0734813,23.13773772,14.77925119,0.678412816,27.20306444,108,133.0,1.444442587,133.0,132.2107781,0.0,2
549,1.27,14.05809192,19,105.561085,17.42522803,11.97888641,0.417152511,20.30746939,95,116.0,0.942697834,116.0,116.4660196,55.97,1
276,1.92,13.98194029,20,124.7541255,26.63742261,17.02455256,0.7231383,31.23907507,120,140.0,1.486054078,140.0,141.4838568,0.0,2
71,1.32,14.1312092,20,122.0276028,27.70624799,16.79691377,0.625009191,33.19696957,114,151.0,1.838508178,151.0,149.9001315,7.34,1
677,1.27,13.69551742,20,107.7557996,22.97645686,14.11766852,0.570024429,27.76939813,100,143.0,1.785612753,143.0,139.505401,4.31,1
192,1.32,14.03489812,21,113.7312859,27.50617209,16.34797854,0.598313201,33.81175238,107,160.0,1.972937679,160.0,158.5456792,0.74,1
67,1.48,13.81740287,21,123.1905891,29.49461261,17.19465355,0.685565686,35.44167922,116,156.0,2.22592103,156.0,154.6802256,7.21,1
430,2.77,15.03102881,19,116.2648677,23.27538335,16.47613523,0.419546908,28.73763809,100,161.0,1.250361021,161.0,155.2169962,18.6,2
84,3.11,14.19813227,19,114.5354951,25.23561937,17.34268123,0.561433053,30.58559371,105,155.0,1.705720459,155.0,152.4481425,14.96,1
544,1.59,14.11845066,19,110.3604313,17.87235539,12.07571972,0.432480239,20.57616293,98,115.0,0.942222802,115.0,113.7790179,45.07,1
233,1.92,14.81545899,19,128.4340322,29.06877043,20.1924242,0.504244113,35.30080308,114,173.0,1.711128217,173.0,166.1894731,8.89,2
326,2.5,13.99880055,21,121.0582549,30.46562533,18.44620609,0.610590821,37.15584752,114,167.0,2.433704357,167.0,165.4667969,5.62,3
447,1.75,13.91389773,20,120.0895448,26.47130979,17.38344386,0.750846258,31.42342683,115,145.0,1.679957608,145.0,146.349709,0.0,1
312,2.05,13.83560585,19,116.9679129,24.63212444,16.30774564,0.664617226,29.10160518,111,139.0,1.577973709,139.0,139.5923748,12.44,2
254,2.5,14.58698591,19,115.594308,28.25867875,19.64967055,0.449867495,35.28448952,105,186.0,1.781466225,186.0,176.2930285,7.68,3
157,3.11,14.47715724,19,110.469308,22.38201193,14.85344865,0.49213868,27.17047461,100,143.0,1.477067534,143.0,142.5615633,23.27,1
482,2.05,14.11889879,17,94.99776786,14.56239124,11.2888535,0.340413442,17.00385613,86,111.0,0.703155113,111.0,113.4495775,77.01,1
428,2.77,15.13966496,19,109.9674546,21.42942909,15.34780184,0.371420203,26.65712777,94,158.0,1.128894731,158.0,152.948282,18.6,2
587,1.59,14.01867291,19,104.9618144,18.34248611,12.41451002,0.465961239,21.5063187,96,120.0,1.029169461,120.0,120.1417012,23.77,1
384,2.66,15.1108881,17,93.02471301,16.10024854,13.87099681,0.345932956,20.31079727,77,157.0,0.868111364,157.0,150.9365234,19.2,1
679,2.51,13.90444908,17,113.4025032,19.43031015,14.88535352,0.643194735,22.34122716,102,125.0,1.133405419,125.0,122.4038783,2.77,2
206,2.05,14.88932414,20,106.3816964,22.62738648,14.32168508,0.378448074,28.47832054,93,164.0,1.302367847,164.0,156.0999283,13.26,2
560,2.77,13.35193474,19,111.8805405,17.27488059,11.36384238,0.265026712,19.07946801,105,101.0,0.51619337,101.0,101.649992,42.7,2
207,2.05,14.94238786,20,105.5716279,23.43258237,15.06138546,0.363976615,29.71981839,93,172.0,1.328364812,172.0,163.1478795,13.26,2
491,1.75,13.76800969,18,91.70501834,14.44740563,9.879561556,0.328585517,16.88912313,83,109.0,0.648950554,109.0,109.1320751,75.9,1
729,2.77,14.29421166,19,73.16882573,13.8295346,9.448605724,0.386568891,17.56507963,66,137.0,0.929398159,137.0,135.069316,27.98,2
662,1.75,14.10536616,20,112.3901068,24.03489359,15.47002979,0.54426177,29.15928522,101,151.0,1.87639403,151.0,146.0523956,10.81,1
533,1.75,14.09561719,19,104.7829839,17.34966226,11.96529725,0.485102653,20.3632236,91,122.0,1.159565709,122.0,118.3772321,63.76,1
644,2.51,13.86521386,19,100.0338608,18.93851032,12.08806728,0.534775714,22.73771694,92,128.0,1.201873959,128.0,126.9659798,1.33,2
448,1.75,13.98736444,19,121.0786232,26.14831929,17.32568982,0.712793798,30.91259678,116,142.0,1.568900326,142.0,144.3410395,0.0,1
627,2.66,13.80571443,20,93.65196508,17.24388453,10.97189318,0.476730705,20.89656384,84,129.0,1.212592589,129.0,125.0807956,1.65,1
94,1.32,14.01511127,21,103.4165737,25.44259648,14.33286544,0.524094928,31.98207296,97,161.0,1.772010979,161.0,159.4185467,2.37,1
458,1.59,12.53816181,19,112.1086376,23.96922804,16.90410423,0.92420925,28.22623714,110,139.0,1.584556704,139.0,139.3192961,0.0,1
552,2.51,13.98093162,18,105.1187022,23.65240858,17.89257058,0.690371871,29.06283469,100,159.0,1.908918464,159.0,157.9110132,4.44,2
367,2.07,15.0624683,19,134.8362962,27.24664439,19.62278995,0.440250156,32.65171543,115,162.0,1.366073563,162.0,156.7840003,17.5,1
476,2.77,12.96195863,20,123.5682199,26.10848218,16.03183028,0.888219066,30.09606955,120,133.0,1.33281193,133.0,132.9404695,0.0,2
443,2.07,13.08120743,18,117.1670719,23.68245189,17.82418569,0.70500706,27.36556859,116,133.0,1.130909466,133.0,135.3556282,0.0,1
104,3.11,14.22387203,20,111.5825694,25.83328353,15.34525363,0.507947568,31.90987067,102,159.0,1.707694413,159.0,155.2989278,10.48,1
596,1.27,13.63048066,18,110.814493,19.05641703,13.28714967,0.541464156,21.86237318,102,119.0,0.931934987,119.0,117.1219308,26.02,1
397,1.59,14.17341446,19,93.64588648,20.66157086,14.26506775,0.504739768,26.04801657,86,156.0,1.565744486,156.0,154.5349769,13.3,1
562,2.77,13.7666251,19,113.382095,19.27368333,12.98579105,0.452397862,21.95747014,105,114.0,0.877278397,114.0,114.6621293,42.7,2
115,2.12,14.12675376,21,113.3713728,26.56555909,15.32661651,0.517783459,32.69755369,104,158.0,1.706146553,158.0,154.8213688,0.85,1
656,2.05,14.03184357,19,108.7418686,22.79248213,15.99405586,0.633881921,27.55228589,100,147.0,1.749280527,147.0,144.769332,2.19,1
368,2.07,15.08847207,18,129.1977639,24.72431704,18.89011782,0.449351171,29.77836569,109,158.0,1.264791676,158.0,153.7641303,17.5,1
426,2.51,15.01219565,18,107.7841598,20.60571982,16.05483979,0.407360731,25.58730751,91,159.0,1.11073297,159.0,153.8251156,19.4,2
50,2.12,14.00057271,19,102.8048868,20.50542026,14.28769584,0.566437442,24.87521751,94,141.0,1.550449558,141.0,138.6976443,51.14,1
409,1.27,15.14242871,19,117.5212851,21.02545238,15.06238605,0.360561569,25.91662164,95,150.0,1.040482893,150.0,147.7885244,13.6,1
403,1.27,15.04076916,19,112.486069,23.37612322,15.6816852,0.402617487,29.14217902,95,160.0,1.291392086,160.0,157.0696349,13.6,1
377,1.75,15.06190066,18,120.521883,22.60028603,16.75815265,0.400219507,27.62314159,101,155.0,1.169726709,155.0,151.1599968,22.3,1
686,2.77,13.96340627,19,109.4635284,21.39577599,14.23693931,0.570812409,25.43637702,101,135.0,1.526406867,135.0,132.4157964,5.18,2
463,1.27,13.12992664,19,130.6327926,26.70166722,17.75694205,0.871459398,30.12148361,127,131.0,1.171015901,131.0,131.5207071,0.0,1
111,1.48,13.84464673,21,123.8296596,30.86136025,18.01907704,0.630126206,37.28622468,117,163.0,2.507582144,163.0,161.0831075,0.71,1
441,2.07,14.08672504,19,122.6504703,26.9666474,18.30852166,0.704238091,31.92949474,117,147.0,1.616524258,147.0,148.4739716,0.0,1
91,2.12,14.21993133,21,105.2404735,25.22523606,14.54098008,0.464807857,31.70427702,96,163.0,1.536643874,163.0,159.6640027,5.56,1
629,2.66,14.21824278,19,98.17699697,19.79709389,12.81749507,0.452233744,24.48644219,87,146.0,1.414837395,146.0,140.7334184,1.65,1
668,2.66,13.80163898,19,97.52840003,18.70059256,12.00729923,0.547486279,22.6526213,89,133.0,1.363790641,133.0,129.470743,10.69,1
456,2.66,13.48085166,20,100.7087054,20.03184629,12.46105365,0.536202124,24.02313156,97,127.0,1.094828195,127.0,128.7620177,0.0,1
635,1.27,13.19842727,18,103.522162,20.0329531,14.38375446,0.729947747,23.66308623,98,132.0,1.548608273,132.0,129.4834782,1.67,1
